STOCK,INDUSTRY_SECTOR,INDUSTRY_SECTOR_NUM,INDUSTRY_GROUP,INDUSTRY_GROUP_NUM,INDUSTRY_SUBGROUP,INDUSTRY_SUBGROUP_NUM
RAI ,"Consumer, Non-cyclical",10005,Agriculture,20035,Tobacco,132
JNPR ,Communications,10003,Telecommunications,20017,Telecommunication Equip,262
COST ,"Consumer, Cyclical",10004,Retail,20031,Retail-Discount,62
HCBK ,Financial,10008,Savings&Loans,20059,S&L/Thrifts-Eastern US,151
DVN ,Energy,10007,Oil&Gas,20048,Oil Comp-Explor&Prodtn,135
RHT ,Technology,10013,Software,20109,Applications Software,422
PTV ,Industrial,10011,Packaging&Containers,20089,Containers-Paper/Plastic,230
AKAM ,Technology,10013,Software,20109,Computer Software,258
A ,Industrial,10011,Electronics,20081,Electronic Measur Instr,194
UPS ,Industrial,10011,Transportation,20091,Transport-Services,236
EXPD ,Industrial,10011,Transportation,20091,Transport-Services,236
MET ,Financial,10008,Insurance,20055,Multi-line Insurance,165
JNS ,Financial,10008,Diversified Finan Serv,20054,Invest Mgmnt/Advis Serv,303
ISRG ,"Consumer, Non-cyclical",10005,Healthcare-Products,20041,Medical Instruments,116
AV ,Financial,10008,Insurance,20055,Life/Health Insurance,164
DNB ,Technology,10013,Software,20109,Data Processing/Mgmt,424
V ,Financial,10008,Diversified Finan Serv,20054,Finance-Credit Card,158
COH ,"Consumer, Cyclical",10004,Apparel,20019,Apparel Manufacturers,21
MON ,Basic Materials,10002,Chemicals,20010,Agricultural Chemicals,698
AET ,"Consumer, Non-cyclical",10005,Healthcare-Services,20042,Medical-HMO,118
FLR ,Industrial,10011,Engineering&Construction,20082,Engineering/R&D Services,203
BTU ,Energy,10007,Coal,20046,Coal,134
FIS ,Technology,10013,Software,20109,Data Processing/Mgmt,424
FTI ,Energy,10007,Oil&Gas Services,20049,Oil Field Mach&Equip,143
KFT ,"Consumer, Non-cyclical",10005,Food,20040,Food-Misc/Diversified,110
COL ,Industrial,10011,Aerospace/Defense,20078,Aerospace/Defense,240
WLP ,"Consumer, Non-cyclical",10005,Healthcare-Services,20042,Medical-HMO,118
PFG ,Financial,10008,Insurance,20055,Life/Health Insurance,164
PRU ,Financial,10008,Insurance,20055,Life/Health Insurance,164
GME ,"Consumer, Cyclical",10004,Retail,20031,Retail-Computer Equip,364
LO ,"Consumer, Non-cyclical",10005,Agriculture,20035,Tobacco,132
CIT ,Financial,10008,Banks,20051,Commer Banks-Eastern US,147
WYNN ,"Consumer, Cyclical",10004,Lodging,20029,Casino Hotels,326
CME ,Financial,10008,Diversified Finan Serv,20054,Finance-Other Services,162
SHLD ,"Consumer, Cyclical",10004,Retail,20031,Retail-Major Dept Store,68
MHS ,"Consumer, Non-cyclical",10005,Pharmaceuticals,20044,Pharmacy Services,405
DTV ,Communications,10003,Media,20016,Cable/Satellite TV,45
AIZ ,Financial,10008,Insurance,20055,Multi-line Insurance,165
NRG ,Utilities,10014,Electric,20110,Independ Power Producer,267
HSP ,"Consumer, Non-cyclical",10005,Healthcare-Products,20041,Medical Products,117
GNW ,Financial,10008,Insurance,20055,Multi-line Insurance,165
CBG ,Financial,10008,Real Estate,20058,Real Estate Mgmnt/Servic,673
GOOG ,Communications,10003,Internet,20015,Web Portals/ISP,684
DYN ,Utilities,10014,Electric,20110,Independ Power Producer,267
NWSA ,Communications,10003,Media,20016,Multimedia,307
NWS ,Communications,10003,Media,20016,Multimedia,307
NE ,Energy,10007,Oil&Gas,20048,Oil&Gas Drilling,137
NDAQ ,Financial,10008,Diversified Finan Serv,20054,Finance-Other Services,162
NOVL ,Technology,10013,Software,20109,Enterprise Software/Serv,644
EXPE ,Communications,10003,Internet,20015,E-Commerce/Services,678
CF ,Basic Materials,10002,Chemicals,20010,Agricultural Chemicals,698
VTI ,Funds,10009,Equity Fund,20066,Growth & Income,758
AMP ,Financial,10008,Diversified Finan Serv,20054,Invest Mgmnt/Advis Serv,303
ICE ,Financial,10008,Diversified Finan Serv,20054,Finance-Other Services,162
VIAB ,Communications,10003,Media,20016,Multimedia,307
NYX ,Financial,10008,Diversified Finan Serv,20054,Finance-Other Services,162
MA ,"Consumer, Non-cyclical",10005,Commercial Services,20038,Commercial Serv-Finance,280
RBK ,"Consumer, Cyclical",10004,Apparel,20019,Athletic Footwear,324
WIN ,Communications,10003,Telecommunications,20017,Telephone-Integrated,300
WYN ,"Consumer, Cyclical",10004,Lodging,20029,Hotels&Motels,43
WU ,"Consumer, Non-cyclical",10005,Commercial Services,20038,Commercial Serv-Finance,280
SAI ,"Consumer, Non-cyclical",10005,Commercial Services,20038,Consulting Services,296
ROST ,"Consumer, Cyclical",10004,Retail,20031,Retail-Apparel/Shoe,58
FSLR ,Technology,10013,Semiconductors,20108,Electronic Compo-Semicon,256
SE ,Energy,10007,Pipelines,20050,Pipelines,144
TWC ,Communications,10003,Media,20016,Cable/Satellite TV,45
PCS ,Communications,10003,Telecommunications,20017,Cellular Telecom,259
DFS ,Financial,10008,Diversified Finan Serv,20054,Finance-Credit Card,158
TDC ,Technology,10013,Computers,20106,Computers-Integrated Sys,243
AHC ,Communications,10003,Media,20016,Publishing-Newspapers,48
PM ,"Consumer, Non-cyclical",10005,Agriculture,20035,Tobacco,132
DPS ,"Consumer, Non-cyclical",10005,Beverages,20036,Beverages-Non-alcoholic,81
UNH ,"Consumer, Non-cyclical",10005,Healthcare-Services,20042,Medical-HMO,118
