STOCK,INDUSTRY_SECTOR,INDUSTRY_SECTOR_NUM,INDUSTRY_GROUP,INDUSTRY_GROUP_NUM,INDUSTRY_SUBGROUP,INDUSTRY_SUBGROUP_NUM
RHI ,"Consumer, Non-cyclical",10005,Commercial Services,20038,Human Resources,88
JEC ,Industrial,10011,Engineering&Construction,20082,Engineering/R&D Services,203
THC ,"Consumer, Non-cyclical",10005,Healthcare-Services,20042,Medical-Hospitals,119
EFX ,"Consumer, Non-cyclical",10005,Commercial Services,20038,Commercial Serv-Finance,280
GWW ,"Consumer, Cyclical",10004,Distribution/Wholesale,20022,Distribution/Wholesale,51
LEN ,"Consumer, Cyclical",10004,Home Builders,20025,Bldg-Residential/Commer,33
MER ,Financial,10008,Diversified Finan Serv,20054,Finance-Invest Bnkr/Brkr,159
HAS ,"Consumer, Cyclical",10004,Toys/Games/Hobbies,20034,Toys,77
IPG ,Communications,10003,Advertising,20014,Advertising Agencies,321
WPO ,Communications,10003,Media,20016,Publishing-Newspapers,48
GDW ,Financial,10008,Savings&Loans,20059,S&L/Thrifts-Western US,154
MU ,Technology,10013,Semiconductors,20108,Electronic Compo-Semicon,256
CTX ,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
FDO ,"Consumer, Cyclical",10004,Retail,20031,Retail-Discount,62
PHM ,"Consumer, Cyclical",10004,Home Builders,20025,Bldg-Residential/Commer,33
MIL ,Industrial,10011,Transportation,20091,Transport-Services,236
HOT ,"Consumer, Cyclical",10004,Lodging,20029,Hotels&Motels,43
MOLX ,Industrial,10011,Electrical Compo&Equip,20080,Electric Products-Misc,191
WMT ,"Consumer, Cyclical",10004,Retail,20031,Retail-Discount,62
LPX ,Industrial,10011,Building Materials,20079,Bldg&Construct Prod-Misc,185
NCC ,Financial,10008,Banks,20051,Super-Regional Banks-US,146
CAG ,"Consumer, Non-cyclical",10005,Food,20040,Food-Misc/Diversified,110
ITW ,Industrial,10011,Miscellaneous Manufactur,20088,Diversified Manufact Op,223
BLL ,Industrial,10011,Packaging&Containers,20089,Containers-Metal/Glass,229
NKE ,"Consumer, Cyclical",10004,Apparel,20019,Athletic Footwear,324
JWN ,"Consumer, Cyclical",10004,Retail,20031,Retail-Major Dept Store,68
AFL ,Financial,10008,Insurance,20055,Life/Health Insurance,164
NFB ,Financial,10008,Banks,20051,Commer Banks-Eastern US,147
NTRS ,Financial,10008,Banks,20051,Fiduciary Banks,695
NT ,Communications,10003,Telecommunications,20017,Telecommunication Equip,262
LUV ,"Consumer, Cyclical",10004,Airlines,20018,Airlines,20
DJ ,Communications,10003,Media,20016,Publishing-Newspapers,48
GPS ,"Consumer, Cyclical",10004,Retail,20031,Retail-Apparel/Shoe,58
AXP ,Financial,10008,Diversified Finan Serv,20054,Finance-Credit Card,158
BUD ,"Consumer, Non-cyclical",10005,Beverages,20036,Brewery,80
CB ,Financial,10008,Insurance,20055,Property/Casualty Ins,166
TAP ,"Consumer, Non-cyclical",10005,Beverages,20036,Brewery,80
INTC ,Technology,10013,Semiconductors,20108,Electronic Compo-Semicon,256
MEL ,Financial,10008,Banks,20051,Fiduciary Banks,695
BAC ,Financial,10008,Banks,20051,Diversified Banking Inst,713
SAF ,Financial,10008,Insurance,20055,Property/Casualty Ins,166
TRV ,Financial,10008,Insurance,20055,Property/Casualty Ins,166
MDT ,"Consumer, Non-cyclical",10005,Healthcare-Products,20041,Medical Instruments,116
SNA ,Industrial,10011,Hand/Machine Tools,20084,Tools-Hand Held,208
PNC ,Financial,10008,Banks,20051,Super-Regional Banks-US,146
PCAR ,"Consumer, Cyclical",10004,Auto Manufacturers,20020,Auto-Med&Heavy Duty Trks,26
CTL ,Communications,10003,Telecommunications,20017,Telephone-Integrated,300
FDX ,Industrial,10011,Transportation,20091,Transport-Services,236
ADI ,Technology,10013,Semiconductors,20108,Semicon Compo-Intg Circu,658
LEG ,Industrial,10011,Miscellaneous Manufactur,20088,Diversified Manufact Op,223
NWL ,"Consumer, Cyclical",10004,Housewares,20027,Home Decoration Products,293
AMD ,Technology,10013,Semiconductors,20108,Electronic Compo-Semicon,256
LOW ,"Consumer, Cyclical",10004,Retail,20031,Retail-Building Products,55
PAYX ,"Consumer, Non-cyclical",10005,Commercial Services,20038,Commercial Serv-Finance,280
AON ,Financial,10008,Insurance,20055,Insurance Brokers,163
NBL ,Energy,10007,Oil&Gas,20048,Oil Comp-Explor&Prodtn,135
TMO ,Industrial,10011,Electronics,20081,Instruments-Scientific,198
CSX ,Industrial,10011,Transportation,20091,Transport-Rail,235
TMK ,Financial,10008,Insurance,20055,Life/Health Insurance,164
ASO ,Funds,10009,Commodity Fund,20071,Commodity,913
EC ,Energy,10007,Oil&Gas,20048,Oil Comp-Integrated,136
SWN ,Energy,10007,Oil&Gas,20048,Oil Comp-Explor&Prodtn,135
PCP ,Industrial,10011,Metal Fabricate/Hardware,20087,Metal Processors&Fabrica,219
CI ,"Consumer, Non-cyclical",10005,Healthcare-Services,20042,Medical-HMO,118
LTD ,"Consumer, Cyclical",10004,Retail,20031,Retail-Apparel/Shoe,58
NSC ,Industrial,10011,Transportation,20091,Transport-Rail,235
PGR ,Financial,10008,Insurance,20055,Property/Casualty Ins,166
ASN ,Financial,10008,REITS,20057,REITS-Apartments,169
CFC ,Financial,10008,Diversified Finan Serv,20054,Finance-Mtge Loan/Banker,161
PSA ,Financial,10008,REITS,20057,REITS-Storage,180
STZ ,"Consumer, Non-cyclical",10005,Beverages,20036,Beverages-Wine/Spirits,167
D ,Utilities,10014,Electric,20110,Electric-Integrated,265
KEY ,Financial,10008,Banks,20051,Super-Regional Banks-US,146
LM ,Financial,10008,Diversified Finan Serv,20054,Invest Mgmnt/Advis Serv,303
TRB ,Communications,10003,Media,20016,Publishing-Newspapers,48
VZ ,Communications,10003,Telecommunications,20017,Telephone-Integrated,300
BLS ,Communications,10003,Telecommunications,20017,Telephone-Integrated,300
HCN ,Financial,10008,REITS,20057,REITS-Health Care,171
SBC ,Communications,10003,Telecommunications,20017,Telephone-Integrated,300
TIN ,Industrial,10011,Packaging&Containers,20089,Containers-Paper/Plastic,230
USB ,Financial,10008,Banks,20051,Super-Regional Banks-US,146
HD ,"Consumer, Cyclical",10004,Retail,20031,Retail-Building Products,55
SLM ,Financial,10008,Diversified Finan Serv,20054,Finance-Consumer Loans,157
WDC ,Technology,10013,Computers,20106,Computers-Memory Devices,245
AIG ,Financial,10008,Insurance,20055,Multi-line Insurance,165
BIG ,"Consumer, Cyclical",10004,Retail,20031,Retail-Discount,62
HCP ,Financial,10008,REITS,20057,REITS-Health Care,171
STI ,Financial,10008,Banks,20051,Super-Regional Banks-US,146
BSC ,Funds,10009,Equity Fund,20066,Value-Small Cap,771
STJ ,"Consumer, Non-cyclical",10005,Healthcare-Products,20041,Medical Instruments,116
MS ,Financial,10008,Banks,20051,Diversified Banking Inst,713
MYL ,"Consumer, Non-cyclical",10005,Pharmaceuticals,20044,Medical-Generic Drugs,127
HOG ,"Consumer, Cyclical",10004,Leisure Time,20028,Motorcycle/Motor Scooter,342
KBH ,"Consumer, Cyclical",10004,Home Builders,20025,Bldg-Residential/Commer,33
ARG ,Basic Materials,10002,Chemicals,20010,Industrial Gases,693
APC ,Energy,10007,Oil&Gas,20048,Oil Comp-Explor&Prodtn,135
CCE ,"Consumer, Non-cyclical",10005,Beverages,20036,Beverages-Non-alcoholic,81
SIAL ,Basic Materials,10002,Chemicals,20010,Chemicals-Specialty,4
ECL ,Basic Materials,10002,Chemicals,20010,Chemicals-Specialty,4
UNM ,Financial,10008,Insurance,20055,Life/Health Insurance,164
BBT ,Financial,10008,Banks,20051,Commer Banks-Southern US,149
STT ,Financial,10008,Banks,20051,Fiduciary Banks,695
SYK ,"Consumer, Non-cyclical",10005,Healthcare-Products,20041,Medical Products,117
SBL ,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
BHI ,Energy,10007,Oil&Gas Services,20049,Oil-Field Services,142
TIF ,"Consumer, Cyclical",10004,Retail,20031,Retail-Jewelry,66
CBS ,Communications,10003,Media,20016,Television,44
CCL ,"Consumer, Cyclical",10004,Leisure Time,20028,Cruise Lines,334
MBI ,Financial,10008,Insurance,20055,Financial Guarantee Ins,285
SCHW ,Financial,10008,Diversified Finan Serv,20054,Finance-Invest Bnkr/Brkr,159
GFR ,Financial,10008,Insurance,20055,Life/Health Insurance,164
HAR ,"Consumer, Cyclical",10004,Home Furnishings,20026,Audio/Video Products,37
PXD ,Energy,10007,Oil&Gas,20048,Oil Comp-Explor&Prodtn,135
TLAB ,Communications,10003,Telecommunications,20017,Telecommunication Equip,262
BR ,Technology,10013,Software,20109,Data Processing/Mgmt,424
SPLS ,"Consumer, Cyclical",10004,Retail,20031,Retail-Office Supplies,369
ADBE ,Technology,10013,Software,20109,Electronic Forms,649
ODP ,"Consumer, Cyclical",10004,Retail,20031,Retail-Office Supplies,369
ALTR ,Technology,10013,Semiconductors,20108,Electronic Compo-Semicon,256
PCL ,Financial,10008,REITS,20057,REITS-Diversified,170
SYMC ,Communications,10003,Internet,20015,Internet Security,691
AGN ,"Consumer, Non-cyclical",10005,Pharmaceuticals,20044,Medical-Drugs,126
FRE ,Financial,10008,Diversified Finan Serv,20054,Finance-Leasing Compan,160
VTR ,Financial,10008,REITS,20057,REITS-Health Care,171
EOG ,Energy,10007,Oil&Gas,20048,Oil Comp-Explor&Prodtn,135
ERTS ,Technology,10013,Software,20109,Entertainment Software,426
SLR ,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
PMTC ,Technology,10013,Software,20109,Applications Software,422
CSCO ,Communications,10003,Telecommunications,20017,Networking Products,359
COG ,Energy,10007,Oil&Gas,20048,Oil Comp-Explor&Prodtn,135
HET ,"Consumer, Cyclical",10004,Lodging,20029,Casino Hotels,326
SWY ,"Consumer, Non-cyclical",10005,Food,20040,Food-Retail,111
HCA ,"Consumer, Non-cyclical",10005,Healthcare-Services,20042,Medical-Hospitals,119
XLNX ,Technology,10013,Semiconductors,20108,Electronic Compo-Semicon,256
BJS ,Energy,10007,Oil&Gas Services,20049,Oil-Field Services,142
AN ,"Consumer, Cyclical",10004,Retail,20031,Retail-Automobile,277
HMA ,"Consumer, Non-cyclical",10005,Healthcare-Services,20042,Medical-Hospitals,119
AZO ,"Consumer, Cyclical",10004,Retail,20031,Retail-Auto Parts,54
CVH ,"Consumer, Non-cyclical",10005,Healthcare-Services,20042,Medical-HMO,118
PMCS ,Technology,10013,Semiconductors,20108,Electronic Compo-Semicon,256
CEPH ,"Consumer, Non-cyclical",10005,Pharmaceuticals,20044,Medical-Drugs,126
JNY ,"Consumer, Cyclical",10004,Apparel,20019,Apparel Manufacturers,21
TSS ,"Consumer, Non-cyclical",10005,Commercial Services,20038,Commercial Serv-Finance,280
X ,Basic Materials,10002,Iron/Steel,20012,Steel-Producers,11
MEDI ,"Consumer, Non-cyclical",10005,Biotechnology,20037,Medical-Biomedical/Gene,252
DV ,"Consumer, Non-cyclical",10005,Commercial Services,20038,Schools,95
AES ,Utilities,10014,Electric,20110,Electric-Generation,264
ABK ,Financial,10008,Insurance,20055,Financial Guarantee Ins,285
MTG ,Financial,10008,Insurance,20055,Financial Guarantee Ins,285
BIIB ,"Consumer, Non-cyclical",10005,Biotechnology,20037,Medical-Biomedical/Gene,252
AW ,Industrial,10011,Environmental Control,20083,Non-hazardous Waste Disp,354
HCR ,"Consumer, Non-cyclical",10005,Healthcare-Services,20042,Medical-Nursing Homes,120
KIM ,Financial,10008,REITS,20057,REITS-Shopping Centers,179
FSH ,"Consumer, Non-cyclical",10005,Healthcare-Services,20042,Medical Labs&Testing Srv,394
OI ,Industrial,10011,Packaging&Containers,20089,Containers-Metal/Glass,229
QCOM ,Technology,10013,Semiconductors,20108,Semicon Compo-Intg Circu,658
GILD ,"Consumer, Non-cyclical",10005,Biotechnology,20037,Medical-Biomedical/Gene,252
WFMI ,"Consumer, Non-cyclical",10005,Food,20040,Food-Retail,111
ROP ,Industrial,10011,Machinery-Diversified,20086,Machinery-General Indust,214
PLMD ,"Consumer, Non-cyclical",10005,Healthcare-Products,20041,Medical Products,117
TWX ,Communications,10003,Media,20016,Multimedia,307
FD ,"Consumer, Cyclical",10004,Retail,20031,Retail-Regnl Dept Store,70
EP ,Energy,10007,Pipelines,20050,Pipelines,144
FDC ,Technology,10013,Software,20109,Data Processing/Mgmt,424
BSX ,"Consumer, Non-cyclical",10005,Healthcare-Products,20041,Medical Instruments,116
KSS ,"Consumer, Cyclical",10004,Retail,20031,Retail-Regnl Dept Store,70
BBBY ,"Consumer, Cyclical",10004,Retail,20031,Retail-Bedding,362
DHI ,"Consumer, Cyclical",10004,Home Builders,20025,Bldg-Residential/Commer,33
ESRX ,"Consumer, Non-cyclical",10005,Pharmaceuticals,20044,Pharmacy Services,405
SBUX ,"Consumer, Cyclical",10004,Retail,20031,Retail-Restaurants,64
TSN ,"Consumer, Non-cyclical",10005,Food,20040,Food-Meat Products,109
PX ,Basic Materials,10002,Chemicals,20010,Industrial Gases,693
MFE ,Communications,10003,Internet,20015,Internet Security,691
PDCO ,"Consumer, Non-cyclical",10005,Healthcare-Products,20041,Dental Supplies&Equip,129
CHK ,Energy,10007,Oil&Gas,20048,Oil Comp-Explor&Prodtn,135
WPI ,"Consumer, Non-cyclical",10005,Pharmaceuticals,20044,Medical-Generic Drugs,127
INTU ,Technology,10013,Software,20109,Applications Software,422
MCHP ,Technology,10013,Semiconductors,20108,Electronic Compo-Semicon,256
ACE ,Financial,10008,Insurance,20055,Multi-line Insurance,165
JBL ,Industrial,10011,Electronics,20081,Electronic Compo-Misc,193
ORLY ,"Consumer, Cyclical",10004,Retail,20031,Retail-Auto Parts,54
SANM ,Industrial,10011,Electronics,20081,Electronic Compo-Misc,193
XTO ,Energy,10007,Oil&Gas,20048,Oil Comp-Integrated,136
RIG ,Energy,10007,Oil&Gas,20048,Oil&Gas Drilling,137
FLIR ,Industrial,10011,Electronics,20081,Electronic Measur Instr,194
ALL ,Financial,10008,Insurance,20055,Multi-line Insurance,165
LNX ,"Consumer, Cyclical",10004,Housewares,20027,Housewares,231
NXL ,Financial,10008,REITS,20057,REITS-Shopping Centers,179
EQR ,Financial,10008,REITS,20057,REITS-Apartments,169
JDSU ,Communications,10003,Telecommunications,20017,Telecom Eq Fiber Optics,261
URBN ,"Consumer, Cyclical",10004,Retail,20031,Retail-Apparel/Shoe,58
GTW ,Technology,10013,Computers,20106,Computers,668
EMN ,Basic Materials,10002,Chemicals,20010,Chemicals-Specialty,4
SPG ,Financial,10008,REITS,20057,REITS-Regional Malls,178
QLGC ,Technology,10013,Semiconductors,20108,Electronic Compo-Semicon,256
AKS ,Basic Materials,10002,Iron/Steel,20012,Steel-Producers,11
AVB ,Financial,10008,REITS,20057,REITS-Apartments,169
PLD ,Financial,10008,REITS,20057,REITS-Warehouse/Industr,181
LEH ,Financial,10008,Diversified Finan Serv,20054,Finance-Invest Bnkr/Brkr,159
AIV ,Financial,10008,REITS,20057,REITS-Apartments,169
ACS ,Financial,10008,Closed-end Funds,20052,Closed-end Funds,155
COF ,Financial,10008,Banks,20051,Super-Regional Banks-US,146
MCK ,"Consumer, Non-cyclical",10005,Pharmaceuticals,20044,Medical-Whsle Drug Dist,128
GDT ,"Consumer, Non-cyclical",10005,Healthcare-Products,20041,Medical Instruments,116
APOL ,"Consumer, Non-cyclical",10005,Commercial Services,20038,Schools,95
CMX ,"Consumer, Non-cyclical",10005,Pharmaceuticals,20044,Pharmacy Services,405
TT ,Industrial,10011,Building Materials,20079,Bldg Prod-Air&Heating,186
ABC ,"Consumer, Non-cyclical",10005,Pharmaceuticals,20044,Medical-Whsle Drug Dist,128
WM ,Industrial,10011,Environmental Control,20083,Non-hazardous Waste Disp,354
DRI ,"Consumer, Cyclical",10004,Retail,20031,Retail-Restaurants,64
FCX ,Basic Materials,10002,Mining,20013,Metal-Copper,13
WFR ,Technology,10013,Semiconductors,20108,Electronic Compo-Semicon,256
CAM ,Energy,10007,Oil&Gas Services,20049,Oil Field Mach&Equip,143
IVZ ,Financial,10008,Diversified Finan Serv,20054,Invest Mgmnt/Advis Serv,303
DNR ,Energy,10007,Oil&Gas,20048,Oil Comp-Explor&Prodtn,135
DO ,Energy,10007,Oil&Gas,20048,Oil&Gas Drilling,137
